detected_at,your_item_id,your_item_url,infringing_seller_display,infringing_item_url,infringing_item_id,infringing_image_preview,match_evidence,message_subject,message_body,status
2026-02-15T10:16:13.014184Z,v1|317879962162|0,https://www.ebay.com/itm/317879962162?_skw=a&hash=item4a031f4a32:g:FrwAAeSwtNppkHmw,wicki-29,https://www.ebay.com/itm/127469542752?hash=item1dadc6dd60:g:q9cAAeSwAM1pCc5L,v1|127469542752|0,https://i.ebayimg.com/images/g/q9cAAeSwAM1pCc5L/s-l225.jpg,sha256,画像使用の停止依頼（24時間以内）,"貴出品（Item ID: v1|127469542752|0）にて使用されている画像の一部が、当方が撮影・作成した画像と完全一致していることを確認しました。

つきましては、受信から24時間以内（2026-02-16 19:16 JST）に、該当画像の削除または出品内容の修正をお願いします。
期限までにご対応がない場合、権利保護のための次の対応を検討します。

対応後、このメッセージへ返信でご連絡ください。

（参考）当方の出品: https://www.ebay.com/itm/317879962162?_skw=a&hash=item4a031f4a32:g:FrwAAeSwtNppkHmw",NEW
2026-02-15T10:18:33.949532Z,v1|376955937773|0,https://www.ebay.com/itm/376955937773?_skw=a&hash=item57c45323ed:g:~3MAAeSwRKlpjSum,granpawenterpise,https://www.ebay.com/itm/157379425091?hash=item24a48b7343:g:uEUAAeSwQc1o6J8g,v1|157379425091|0,https://i.ebayimg.com/images/g/uEUAAeSwQc1o6J8g/s-l225.jpg,sha256,画像使用の停止依頼（24時間以内）,"貴出品（Item ID: v1|157379425091|0）にて使用されている画像の一部が、当方が撮影・作成した画像と完全一致していることを確認しました。

つきましては、受信から24時間以内（2026-02-16 19:18 JST）に、該当画像の削除または出品内容の修正をお願いします。
期限までにご対応がない場合、権利保護のための次の対応を検討します。

対応後、このメッセージへ返信でご連絡ください。

（参考）当方の出品: https://www.ebay.com/itm/376955937773?_skw=a&hash=item57c45323ed:g:~3MAAeSwRKlpjSum",NEW
2026-02-15T10:18:35.337399Z,v1|376955945661|0,https://www.ebay.com/itm/376955945661?_skw=a&hash=item57c45342bd:g:9ksAAeSwEjFpjDBu,kelysco,https://www.ebay.com/itm/157662292893?hash=item24b567ab9d:g:MuIAAeSwXVZphReb,v1|157662292893|0,https://i.ebayimg.com/images/g/MuIAAeSwXVZphReb/s-l225.jpg,sha256,画像使用の停止依頼（24時間以内）,"貴出品（Item ID: v1|157662292893|0）にて使用されている画像の一部が、当方が撮影・作成した画像と完全一致していることを確認しました。

つきましては、受信から24時間以内（2026-02-16 19:18 JST）に、該当画像の削除または出品内容の修正をお願いします。
期限までにご対応がない場合、権利保護のための次の対応を検討します。

対応後、このメッセージへ返信でご連絡ください。

（参考）当方の出品: https://www.ebay.com/itm/376955945661?_skw=a&hash=item57c45342bd:g:9ksAAeSwEjFpjDBu",NEW
2026-02-15T10:18:36.635361Z,v1|376955945668|0,https://www.ebay.com/itm/376955945668?_skw=a&hash=item57c45342c4:g:u1IAAeSwwQlpjDAp,arsackn_0,https://www.ebay.com/itm/157617083366?hash=item24b2b5d3e6:g:zL8AAeSwE4hpacQ9,v1|157617083366|0,https://i.ebayimg.com/images/g/zL8AAeSwE4hpacQ9/s-l225.jpg,sha256,画像使用の停止依頼（24時間以内）,"貴出品（Item ID: v1|157617083366|0）にて使用されている画像の一部が、当方が撮影・作成した画像と完全一致していることを確認しました。

つきましては、受信から24時間以内（2026-02-16 19:18 JST）に、該当画像の削除または出品内容の修正をお願いします。
期限までにご対応がない場合、権利保護のための次の対応を検討します。

対応後、このメッセージへ返信でご連絡ください。

（参考）当方の出品: https://www.ebay.com/itm/376955945668?_skw=a&hash=item57c45342c4:g:u1IAAeSwwQlpjDAp",NEW
2026-02-15T10:19:31.958764Z,v1|376955945674|0,https://www.ebay.com/itm/376955945674?_skw=a&hash=item57c45342ca:g:NfQAAeSwN2tpjDAn,arsackn_0,https://www.ebay.com/itm/157617083366?hash=item24b2b5d3e6:g:zL8AAeSwE4hpacQ9,v1|157617083366|0,https://i.ebayimg.com/images/g/zL8AAeSwE4hpacQ9/s-l225.jpg,sha256,画像使用の停止依頼（24時間以内）,"貴出品（Item ID: v1|157617083366|0）にて使用されている画像の一部が、当方が撮影・作成した画像と完全一致していることを確認しました。

つきましては、受信から24時間以内（2026-02-16 19:19 JST）に、該当画像の削除または出品内容の修正をお願いします。
期限までにご対応がない場合、権利保護のための次の対応を検討します。

対応後、このメッセージへ返信でご連絡ください。

（参考）当方の出品: https://www.ebay.com/itm/376955945674?_skw=a&hash=item57c45342ca:g:NfQAAeSwN2tpjDAn",NEW
2026-02-15T10:21:50.238095Z,v1|277724816410|2560724640311,https://www.ebay.com/itm/277724816410?_skw=a&hash=item40a9b0641a:g:otgAAeSwTf1pjyvv,humanagain,https://www.ebay.com/itm/277724816410?var=2560724640309&hash=item40a9b0641a:g:otgAAeSwTf1pjyvv,v1|277724816410|2560724640309,https://i.ebayimg.com/images/g/otgAAeSwTf1pjyvv/s-l225.jpg,both,画像使用の停止依頼（24時間以内）,"貴出品（Item ID: v1|277724816410|2560724640309）にて使用されている画像の一部が、当方が撮影・作成した画像と完全一致していることを確認しました。

つきましては、受信から24時間以内（2026-02-16 19:21 JST）に、該当画像の削除または出品内容の修正をお願いします。
期限までにご対応がない場合、権利保護のための次の対応を検討します。

対応後、このメッセージへ返信でご連絡ください。

（参考）当方の出品: https://www.ebay.com/itm/277724816410?_skw=a&hash=item40a9b0641a:g:otgAAeSwTf1pjyvv",NEW
2026-02-15T10:22:46.261923Z,v1|389625482449|0,https://www.ebay.com/itm/389625482449?_skw=a&hash=item5ab77d0cd1:g:WgUAAeSwswBodfpw,mkaczorsee,https://www.ebay.com/itm/117032696766?hash=item1b3fb13bbe:g:WgUAAeSwswBodfpw,v1|117032696766|0,https://i.ebayimg.com/images/g/WgUAAeSwswBodfpw/s-l225.jpg,both,画像使用の停止依頼（24時間以内）,"貴出品（Item ID: v1|117032696766|0）にて使用されている画像の一部が、当方が撮影・作成した画像と完全一致していることを確認しました。

つきましては、受信から24時間以内（2026-02-16 19:22 JST）に、該当画像の削除または出品内容の修正をお願いします。
期限までにご対応がない場合、権利保護のための次の対応を検討します。

対応後、このメッセージへ返信でご連絡ください。

（参考）当方の出品: https://www.ebay.com/itm/389625482449?_skw=a&hash=item5ab77d0cd1:g:WgUAAeSwswBodfpw",NEW
2026-02-15T10:22:47.145667Z,v1|406698687944|0,https://www.ebay.com/itm/406698687944?_skw=a&hash=item5eb1217dc8:g:HmcAAeSwDGVpkHp6,motocrosspartsuk,https://www.ebay.com/itm/177862897468?hash=item2969746f3c:g:HmcAAeSwDGVpkHp6,v1|177862897468|0,https://i.ebayimg.com/images/g/HmcAAeSwDGVpkHp6/s-l225.jpg,both,画像使用の停止依頼（24時間以内）,"貴出品（Item ID: v1|177862897468|0）にて使用されている画像の一部が、当方が撮影・作成した画像と完全一致していることを確認しました。

つきましては、受信から24時間以内（2026-02-16 19:22 JST）に、該当画像の削除または出品内容の修正をお願いします。
期限までにご対応がない場合、権利保護のための次の対応を検討します。

対応後、このメッセージへ返信でご連絡ください。

（参考）当方の出品: https://www.ebay.com/itm/406698687944?_skw=a&hash=item5eb1217dc8:g:HmcAAeSwDGVpkHp6",NEW
2026-02-15T10:23:57.587220Z,v1|397611636406|0,https://www.ebay.com/itm/397611636406?_skw=a&hash=item5c938016b6:g:jXgAAeSwCxBpkZhe,hebli_7,https://www.ebay.com/itm/227175536177?hash=item34e4b79631:g:2dAAAeSwF3VpaRtd,v1|227175536177|0,https://i.ebayimg.com/images/g/2dAAAeSwF3VpaRtd/s-l225.jpg,sha256,画像使用の停止依頼（24時間以内）,"貴出品（Item ID: v1|227175536177|0）にて使用されている画像の一部が、当方が撮影・作成した画像と完全一致していることを確認しました。

つきましては、受信から24時間以内（2026-02-16 19:23 JST）に、該当画像の削除または出品内容の修正をお願いします。
期限までにご対応がない場合、権利保護のための次の対応を検討します。

対応後、このメッセージへ返信でご連絡ください。

（参考）当方の出品: https://www.ebay.com/itm/397611636406?_skw=a&hash=item5c938016b6:g:jXgAAeSwCxBpkZhe",NEW
2026-02-15T10:27:10.959072Z,v1|177864822564|0,https://www.ebay.com/itm/177864822564?_skw=a&hash=item296991cf24:g:HmcAAeSwDGVpkHp6,motocrosspartsuk,https://www.ebay.com/itm/177862897468?hash=item2969746f3c:g:HmcAAeSwDGVpkHp6,v1|177862897468|0,https://i.ebayimg.com/images/g/HmcAAeSwDGVpkHp6/s-l225.jpg,both,画像使用の停止依頼（24時間以内）,"貴出品（Item ID: v1|177862897468|0）にて使用されている画像の一部が、当方が撮影・作成した画像と完全一致していることを確認しました。

つきましては、受信から24時間以内（2026-02-16 19:27 JST）に、該当画像の削除または出品内容の修正をお願いします。
期限までにご対応がない場合、権利保護のための次の対応を検討します。

対応後、このメッセージへ返信でご連絡ください。

（参考）当方の出品: https://www.ebay.com/itm/177864822564?_skw=a&hash=item296991cf24:g:HmcAAeSwDGVpkHp6",NEW
